Game_ID,Team,Player,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,turnovers,tpm,points,steals,ftm,fgp
9546,Bucks,Brandon Randolph,1.0,7.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,100.0,2.0,1.0,1.0,5.0,0.0,2.0,33.3
9546,Bucks,Mamadi Diakite,1.0,28.0,4.0,33.3,6.0,5.0,0.0,3.0,1.0,-2.0,7.0,3.0,66.7,3.0,6.0,1.0,9.0,1.0,2.0,42.9
9546,Bucks,Sandro Mamukelashvili,1.0,22.0,1.0,75.0,7.0,4.0,0.0,8.0,3.0,-11.0,12.0,4.0,100.0,1.0,3.0,3.0,20.0,0.0,1.0,66.7
9546,Bucks,Theo Pinson,0.0,16.0,2.0,20.0,3.0,3.0,3.0,1.0,0.0,-11.0,7.0,5.0,100.0,2.0,1.0,1.0,5.0,0.0,2.0,14.3
9546,Bucks,Jalen Crutcher,1.0,27.0,1.0,16.7,5.0,2.0,4.0,3.0,3.0,2.0,11.0,6.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,27.3
9546,Bucks,DMitrik Trice,0.0,26.0,0.0,50.0,1.0,0.0,3.0,10.0,1.0,5.0,16.0,6.0,100.0,1.0,3.0,3.0,24.0,0.0,1.0,62.5
9546,Bucks,Jemerrio Jones,0.0,21.0,0.0,0.0,13.0,7.0,5.0,2.0,6.0,7.0,3.0,0.0,100.0,1.0,4.0,0.0,5.0,0.0,1.0,66.7
9546,Bucks,Steven Enoch,0.0,13.0,5.0,0.0,6.0,5.0,0.0,2.0,1.0,-2.0,4.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,50.0
9546,Bucks,Tyree White,1.0,20.0,1.0,25.0,3.0,2.0,1.0,2.0,1.0,-15.0,6.0,4.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,33.3
9546,Bucks,Paul Eboua,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9546,Bucks,Mike Smith,0.0,3.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,-3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,100.0
9546,Bucks,Georgios Kalaitzakis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9546,Bucks,E.J. Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9546,Bucks,John Mooney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9546,Bucks,Jordan Nwora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10809,Bucks,Jordan Nwora,0.0,22.0,1.0,25.0,4.0,4.0,3.0,7.0,0.0,-14.0,15.0,4.0,50.0,2.0,3.0,1.0,16.0,3.0,1.0,46.7
10809,Bucks,Thanasis Antetokounmpo,1.0,18.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,-17.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,33.3
10809,Bucks,Brook Lopez,2.0,19.0,2.0,0.0,7.0,6.0,1.0,4.0,1.0,-13.0,11.0,3.0,100.0,1.0,2.0,0.0,9.0,1.0,1.0,36.4
10809,Bucks,Grayson Allen,1.0,16.0,0.0,50.0,3.0,3.0,1.0,5.0,0.0,-5.0,8.0,6.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,62.5
10809,Bucks,George Hill,0.0,17.0,1.0,0.0,5.0,4.0,2.0,0.0,1.0,-14.0,5.0,5.0,100.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0
10809,Bucks,Giannis Antetokounmpo,,,,,,,,,,,,,,,,,,,,
10809,Bucks,Elijah Bryant,0.0,22.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,33.3
10809,Bucks,Pat Connaughton,0.0,17.0,1.0,25.0,1.0,1.0,3.0,3.0,0.0,2.0,7.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,42.9
